,image_name,weather,scene,timeofday,category,x1,y1,x2,y2,width,height,occluded,truncated,is_valid_box
0,b2505382-2905b23c,clear,city street,night,car,697.203922,542.56261,697.203922,551.349049,0.0,8.786439000000087,False,False,False
1,b2715214-13e3dd85,clear,city street,daytime,car,578.197078,509.712984,578.197078,514.702718,0.0,4.989733999999999,True,False,False
2,b2d9b817-9a617024,clear,highway,night,car,899.332927,593.231825,917.759455,593.231825,18.426527999999962,0.0,True,False,False
3,b30b460d-0e26bd8a,clear,city street,night,car,420.46799,450.645487,429.449505,450.645487,8.981515000000002,0.0,False,False,False
4,b3683422-cce330a8,clear,city street,night,car,707.867251,547.639316,707.867251,557.127384,0.0,9.488067999999998,True,False,False
5,b4a23106-80491109,undefined,city street,daytime,car,596.426433,640.097825,606.408467,640.097825,9.982033999999999,0.0,False,False,False
6,b5115080-37a89b9c,clear,highway,night,car,858.952727,529.979469,878.251701,529.979469,19.298974000000044,0.0,True,False,False
7,b5764fb7-c47fa3ec,overcast,city street,daytime,car,955.336932,492.744382,1006.912432,492.744382,51.57549999999992,0.0,True,False,False
8,b5d8894a-d99dbb00,clear,city street,night,traffic sign,113.091082,400.881336,121.32837,400.881336,8.237288000000007,0.0,False,False,False
9,b66ecd35-8de7da84,clear,city street,night,traffic sign,607.731608,563.962107,621.231599,563.962107,13.499990999999909,0.0,False,False,False
10,b6f77fda-46184a8c,overcast,city street,daytime,car,271.422675,244.792526,271.422675,252.986418,0.0,8.193891999999977,True,False,False
11,b738d22a-6ac5e1d6,snowy,city street,daytime,person,414.367533,434.204278,414.367533,449.632855,0.0,15.428577000000018,False,False,False
12,b7d13f97-74ae37ed,clear,highway,night,car,645.08884,531.543222,645.08884,541.525255,0.0,9.982033000000001,True,False,False
13,b803d91d-ff86709c,snowy,city street,daytime,truck,598.921941,321.920543,610.151727,321.920543,11.229786000000104,0.0,True,False,False
14,b839982e-68902593,partly cloudy,highway,daytime,car,481.63306,586.444399,481.63306,596.426431,0.0,9.982032000000004,True,False,False
15,b8f5cc6a-32756cda,partly cloudy,city street,daytime,traffic light,181.157493,490.246019,181.157493,509.47625,0.0,19.230231000000003,False,False,False
16,b93d4555-02be04c1,clear,city street,night,car,746.816802,475.734516,761.19018,475.734516,14.373378000000002,0.0,False,False,False
17,ba0a3619-e721c302,clear,highway,daytime,traffic sign,503.452977,156.400269,503.452977,171.083047,0.0,14.682777999999985,False,False,False
18,ba41a907-c8e44897,clear,highway,daytime,car,238.848187,612.620217,252.83381,612.620217,13.985623000000004,0.0,True,False,False
19,bb2f678a-9364842a,snowy,city street,daytime,car,1144.190456,394.290278,1155.420243,394.290278,11.229786999999988,0.0,True,True,False
20,bbda6802-894aa456,snowy,city street,daytime,car,267.60284,452.302324,281.082048,452.302324,13.479207999999971,0.0,False,False,False
21,bca3720a-93049dc4,clear,city street,night,traffic sign,759.606501,448.87469,759.606501,462.374681,0.0,13.499991000000023,True,False,False
22,bd99cc57-f7a56498,partly cloudy,city street,daytime,car,712.904494,528.030406,723.482488,528.030406,10.57799399999999,0.0,False,False,False
23,bdbfc024-03ba558f,clear,highway,night,traffic light,149.414004,569.699802,161.564,569.699802,12.149995999999987,0.0,False,False,False
24,be85bd88-4aad89d7,overcast,highway,daytime,traffic light,1195.705068,375.714657,1205.10773,375.714657,9.402661999999964,0.0,False,False,False
25,bedbeb83-cfb5b8eb,clear,city street,night,car,68.246302,182.386459,72.238088,182.386459,3.9917860000000047,0.0,True,False,False
26,bf5d49a3-e2779858,snowy,city street,night,car,868.176454,458.293084,868.176454,470.274602,0.0,11.981517999999994,True,False,False
27,c05f6683-01c5215b,clear,city street,night,car,980.383029,308.964362,987.701306,308.964362,7.31827700000008,0.0,True,False,False
28,c0775b6f-d6afcd0e,clear,city street,night,car,423.146924,530.996086,431.933359,530.996086,8.786434999999983,0.0,True,True,False
29,c093f8be-ca74d5ff,partly cloudy,city street,daytime,car,682.90672,353.593799,682.90672,376.554435,0.0,22.960636000000022,True,False,False
30,c0e6d0ec-17a4eb38,overcast,city street,daytime,car,726.355545,330.772174,726.355545,343.700832,0.0,12.928657999999984,True,False,False
31,c1356a63-e9e5a5f2,clear,city street,night,traffic light,473.199577,450.02847,486.975958,450.02847,13.776381000000015,0.0,False,False,False
32,c1b3582d-3eb61cdc,clear,city street,daytime,person,502.965233,374.562733,509.618214,374.562733,6.652981000000011,0.0,False,False,False
33,c239dcd2-bbd38c33,overcast,highway,daytime,car,726.396754,517.959416,763.866158,517.959416,37.469404000000054,0.0,False,False,False
