image_name,weather,scene,timeofday,category,x1,y1,x2,y2,width,height,area,aspect_ratio,occluded,truncated
0000f77c-6257be58,clear,city street,daytime,traffic light,1125.902264,133.184488,1156.978645,210.875445,31.076380999999856,77.69095700000003,2414.3537799866067,0.39999997683127836,False,False
0000f77c-6257be58,clear,city street,daytime,traffic light,1156.978645,136.637417,1191.50796,210.875443,34.529315,74.23802599999999,2563.3881847321895,0.4651162869012708,False,False
0000f77c-6257be58,clear,city street,daytime,traffic sign,1101.731743,211.122087,1170.79037,233.566141,69.05862699999989,22.444053999999994,1549.955553553855,3.0769230460771437,False,False
0000f77c-6257be58,clear,city street,daytime,traffic sign,0.0,0.246631,100.381647,122.825696,100.381647,122.579065,12304.688432420055,0.8189134661779318,False,True
0000f77c-6257be58,clear,city street,daytime,car,45.240919,254.530367,357.805838,487.906215,312.564919,233.37584799999996,72945.1030266763,1.3393199068311474,False,False
0000f77c-6257be58,clear,city street,daytime,car,507.82755,221.727518,908.367588,442.715126,400.540038,220.987608,88514.3849058491,1.812499993212289,False,False
0000f77c-6257be58,clear,city street,daytime,traffic sign,0.156955,0.809282,102.417429,133.411856,102.260474,132.602574,13560.002070860077,0.7711801582373506,False,True
0000f77c-62c2a288,clear,highway,dawn/dusk,traffic sign,250.549246,294.619798,308.085801,357.05308,57.53655499999999,62.43328200000002,3592.1959636235106,0.9215686434680781,False,False
0000f77c-62c2a288,clear,highway,dawn/dusk,traffic sign,206.478694,299.516526,221.16888,321.551802,14.690186000000011,22.03527600000001,323.7023030013364,0.6666667574302225,True,False
0000f77c-62c2a288,clear,highway,dawn/dusk,traffic sign,924.665474,286.866651,936.907294,297.884289,12.241819999999962,11.017638000000034,134.87594122116,1.1111111111111043,False,False
0000f77c-62c2a288,clear,highway,dawn/dusk,person,423.158909,336.241987,434.176547,358.277263,11.017638000000034,22.03527600000001,242.77669419808885,0.5000000000000013,False,False
0000f77c-62c2a288,clear,highway,dawn/dusk,person,563.939839,324.000165,573.733294,348.483804,9.793454999999994,24.48363900000004,239.77941678274524,0.3999999754938381,False,False
